variable name,definition,value,type
startDate,date and time of survey start,dd/mm/yy hh:mm,character
endDate,date and time of survey end,dd/mm/yy hh:mm,character
progress,"""100""","""100""",character
durationSeconds,how long survey took to complete,seconds,character
finished,did survey finish,True/False,logical
recordedDate,date and time survey was recorded,dd/mm/yy hh:mm,character
responseID,qualtrics specific response id,characters and numers,character
distributionChannel,"""anonymous""","""anonymous""",character
userLanguage,language of survey,"""EN""",character
stai_NOW_q1_calm,I feel calm. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q2_secure,I feel secure. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q3_tense,I am tense. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q4_strained,I feel strained. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q5_ease,I feel at ease. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q6_upset,I feel upset. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q7_misfortunes,I am presently worrying over possible misfortunes. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q8_satisfied,I feel satisfied. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q9_frightened,I feel frightened. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q10_comfortable,I feel comfortable. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q11_selfConfidence,I feel self-confident. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q12_nervous,I feel nervous. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q13_jittery,I am jittery. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
stai_NOW_q14_indecisive,I feel indecisive. ,"{""Not at all"",  ""Somewhat"" , ""Moderately so"", ""Very much so""} ",character
