Quartile 1,Quartile 2,Quartile 3,Quartile 4
Alaska,Alabama,Arizona,California
Delaware,Arkansas,Connecticut,Colorado
Hawaii,Columbia,Indiana,Florida
Idaho,Iowa,Maryland,Georgia
Kansas,Kentucky,Mississippi,Illinois
Montana,Maine,North Carolina,Louisiana
North Dakota,Minnesota,Nevada,Massachusetts
Nebraska,Missouri,Ohio,Michigan
New Mexico,New Hampshire,South Carolina,New Jersey
South Dakota,Oklahoma,Tennessee,New York
Vermont,Oregon,Utah,Pennsylvania
West Virginia,Rhode Island,Virginia,Texas
Wyoming,,Wisconsin,Washington
